Date,Time,System Setting,System Mode,Calendar Event,Program Mode,Cool Set Temp (F),Heat Set Temp (F),Current Temp (F),Current Humidity (%RH),Outdoor Temp (F),Wind Speed (km/h),Cool Stage 1 (sec),Heat Stage 1 (sec),Fan (sec),Ventilator (sec),DM Offset,Thermostat Temperature (F),Thermostat Humidity (%RH),Thermostat Motion,Study (F),Study2,Kid Zone (F),Kid Zone2
2017-02-08,23:00:00,auto,heatOff,hold,Sleep,73.5,67.5,67.1,24,45,7,0,0,0,0,,68.2,24,0,64,0,67.1,0,
2017-02-08,23:05:00,auto,heatOff,hold,Sleep,73.5,67.5,67.1,24,45,7,0,0,0,0,,68.2,24,0,64,0,67.1,0,
2017-02-08,23:10:00,auto,heatOff,hold,Sleep,73.5,67.5,67.1,24,45,7,0,0,0,0,,68.2,24,1,63.9,0,67.1,1,
2017-02-08,23:15:00,auto,heatOff,hold,Sleep,73.5,67.5,67.1,24,45,7,0,0,0,0,,68.2,24,1,63.8,0,67.1,1,
2017-02-08,23:20:00,auto,heatOff,hold,Sleep,73.5,67.5,67.1,24,45,7,0,0,0,0,,68.2,24,0,63.8,0,67.1,1,
2017-02-08,23:25:00,auto,heatStage1On,hold,Sleep,73.5,67.5,66.9,23,45,7,0,300,300,0,,68.2,23,0,63.7,0,66.9,1,
2017-02-08,23:30:00,auto,heatStage1On,hold,Sleep,73.5,67.5,66.9,23,43.5,8,0,285,300,0,,68.7,23,0,63.7,0,66.9,0,
2017-02-08,23:35:00,auto,heatOff,hold,Sleep,73.5,67.5,67.2,23,43.5,8,0,0,75,0,,69.2,23,0,64.1,0,67.2,0,
2017-02-08,23:40:00,auto,heatOff,hold,Sleep,73.5,67.5,68,23,43.5,8,0,0,0,0,,69.1,23,0,64.4,0,68,0,
2017-02-08,23:45:00,auto,heatOff,hold,Sleep,73.5,67.5,67.9,23,43.5,8,0,0,0,0,,68.9,23,0,64.3,0,67.9,0,
2017-02-08,23:50:00,auto,heatOff,hold,Sleep,73.5,67.5,67.7,23,43.5,8,0,0,0,0,,68.8,23,0,64.1,0,67.7,0,
2017-02-08,23:55:00,auto,heatOff,hold,Sleep,73.5,67.5,67.5,23,43.5,8,0,0,0,0,,68.7,23,0,64,0,67.5,0,
